investsteps,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2030,2035,2040,2045,2050,2055,2060,2065,2070,2035,2040,2045,2050,2055,2060,2065,2070,2040,2045,2050,2055,2060,2065,2070,2045,2050,2055,2060,2065,2070,2050,2055,2060,2065,2070,2055,2060,2065,2070,2060,2065,2070,2065,2070,2070
vintagesteps,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2030,2030,2030,2030,2030,2030,2030,2030,2030,2035,2035,2035,2035,2035,2035,2035,2035,2040,2040,2040,2040,2040,2040,2040,2045,2045,2045,2045,2045,2045,2050,2050,2050,2050,2050,2055,2055,2055,2055,2060,2060,2060,2065,2065,2070
available_vintages,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
